Шаг,NFT lvl1,NFT lvl2,NFT lvl3,Активных NFT lvl1,Активных NFT lvl2,Активных NFT lvl3,Встречи,REWARD_POOL токены,Новые NFT,Стоимость новых NFT,Цена токена
400,21408,1981,164,20455,1897,157,288,462774552.74,60,12300.00,0.000063
401,21460,1981,164,20447,1913,146,323,413341229.75,54,5400.00,0.000058
402,21504,1986,164,20464,1887,150,308,434559921.10,51,10500.00,0.000063
403,21549,1991,164,20572,1891,158,287,443465583.51,52,9700.00,0.000059
404,21594,1992,164,20624,1918,156,293,437179111.39,50,5900.00,0.000058
405,21642,2000,165,20691,1921,154,286,437648936.33,60,23100.00,0.000059
406,21689,2009,166,20760,1928,156,290,488885166.94,63,24300.00,0.000071
407,21733,2017,166,20804,1946,159,280,466344132.26,58,13000.00,0.000062
408,21788,2024,168,20825,1951,158,309,483639016.39,66,32700.00,0.000069
409,21839,2025,169,20857,1935,162,294,463414333.37,56,17300.00,0.000063
410,21894,2031,170,20974,1946,164,275,442759431.68,65,21800.00,0.000057
411,21949,2038,171,21011,1947,161,316,482529219.32,69,24000.00,0.000070
412,21994,2044,171,21040,1927,162,292,453702691.74,56,11900.00,0.000063
413,22036,2049,171,21085,1954,167,291,452407410.16,51,10500.00,0.000060
414,22085,2052,173,21104,1954,165,309,478758080.81,56,28100.00,0.000069
415,22136,2055,174,21154,1951,161,300,452240816.75,58,18400.00,0.000064
416,22196,2059,175,21207,1966,167,310,483374196.98,67,21100.00,0.000069
417,22248,2067,175,21266,1969,170,300,461437793.28,63,13500.00,0.000062
418,22289,2072,175,21352,1989,171,274,443933558.31,52,9700.00,0.000057
419,22333,2075,176,21374,2007,169,302,482929994.02,54,18000.00,0.000069
420,22379,2082,178,21369,2000,169,311,458963850.04,60,33000.00,0.000062
421,22419,2087,180,21389,2003,172,308,490015188.84,49,29200.00,0.000070
422,22472,2091,181,21463,1998,174,304,464522501.30,61,19600.00,0.000063
423,22533,2095,181,21559,1985,178,309,452707813.62,70,10600.00,0.000060
424,22579,2097,182,21592,2001,175,302,477461077.34,53,17000.00,0.000069
425,22623,2104,182,21677,2007,171,282,450387220.87,54,11700.00,0.000063
426,22666,2108,182,21781,2003,170,276,434600669.48,52,8800.00,0.000060
427,22724,2112,182,21833,2026,174,283,452675677.99,69,12300.00,0.000061
428,22771,2115,182,21862,2022,180,291,446064083.99,59,8600.00,0.000058
429,22820,2121,183,21914,2006,178,293,448180417.27,65,21800.00,0.000061
430,22870,2126,185,21901,2035,180,311,489354932.81,63,30600.00,0.000069
431,22919,2130,185,21958,2047,183,273,471618583.23,53,8900.00,0.000062
432,22969,2135,186,21994,2064,183,307,450357728.37,57,21000.00,0.000058
433,23027,2144,186,21965,2078,181,327,447131238.10,72,15300.00,0.000058
434,23080,2152,186,22097,2051,180,289,442897965.04,63,13500.00,0.000060
435,23111,2155,186,22197,2044,180,279,442661193.04,37,6400.00,0.000060
436,23161,2162,186,22248,2058,182,282,448753648.25,59,12200.00,0.000060
437,23205,2166,186,22249,2061,180,308,443295255.75,50,8600.00,0.000060
438,23247,2170,188,22223,2072,174,314,468572351.50,52,28600.00,0.000071
439,23302,2178,190,22341,2108,174,274,448429487.84,69,34800.00,0.000062
440,23346,2181,190,22393,2106,184,306,443962625.12,50,7700.00,0.000057
441,23394,2187,190,22494,2082,184,256,438797912.74,57,11100.00,0.000059
442,23443,2189,190,22554,2085,180,305,438958043.22,55,7300.00,0.000061
443,23491,2192,192,22496,2103,184,300,446139444.16,56,28100.00,0.000060
444,23541,2194,192,22589,2113,186,281,483088034.87,58,17500.00,0.000068
445,23594,2198,192,22653,2122,188,297,462421481.54,64,12700.00,0.000062
446,23639,2201,192,22709,2122,186,274,437895081.08,52,7900.00,0.000057
447,23687,2206,192,22760,2126,186,291,447780190.59,57,10200.00,0.000060
448,23731,2213,192,22791,2137,188,279,446818514.41,55,12700.00,0.000058
449,23791,2216,192,22867,2120,182,303,428542056.23,69,10500.00,0.000058
450,23837,2222,192,22901,2119,182,288,442085678.88,55,10900.00,0.000062
451,23899,2227,192,22895,2130,184,334,435912831.87,72,11700.00,0.000059
452,23951,2229,192,22945,2132,180,292,434468006.63,57,7500.00,0.000061
453,23999,2235,193,23057,2145,182,288,483358166.46,56,20900.00,0.000072
454,24040,2239,193,23105,2161,180,277,451271292.35,46,8200.00,0.000062
455,24089,2243,193,23127,2169,185,298,451425259.14,56,9200.00,0.000060
456,24133,2245,194,23142,2149,191,303,479410411.04,50,16700.00,0.000067
457,24191,2248,195,23237,2133,189,297,453761891.51,67,21100.00,0.000062
458,24242,2253,196,23261,2143,188,322,484474412.07,62,20600.00,0.000071
459,24292,2260,197,23303,2176,189,283,466369855.71,60,22200.00,0.000064
460,24341,2267,197,23374,2179,192,308,448918775.70,58,13000.00,0.000059
461,24379,2271,197,23416,2162,191,285,443651559.20,45,8100.00,0.000060
462,24433,2276,197,23455,2191,187,307,439364059.78,61,11500.00,0.000060
463,24493,2283,197,23495,2205,185,303,437149553.19,68,13100.00,0.000060
464,24543,2286,197,23587,2194,185,290,440060205.70,55,9100.00,0.000061
465,24584,2291,197,23621,2197,191,295,453503298.10,48,9300.00,0.000062
466,24640,2294,198,23653,2192,195,309,484451986.60,63,18900.00,0.000068
467,24699,2296,198,23718,2191,193,304,460134241.61,65,8300.00,0.000063
468,24741,2302,199,23760,2202,196,298,491134336.50,50,20300.00,0.000070
469,24794,2311,201,23819,2214,194,300,465178819.87,65,34400.00,0.000063
470,24842,2315,201,23889,2238,185,285,430271483.01,55,10000.00,0.000059
471,24899,2318,202,23908,2253,189,313,445886134.33,65,19100.00,0.000062
472,24955,2324,202,23924,2247,199,314,451200509.72,68,12200.00,0.000058
473,25015,2330,202,24037,2240,200,295,488337326.89,70,22300.00,0.000069
474,25064,2338,202,24117,2248,196,297,462693963.32,62,14300.00,0.000063
475,25107,2343,203,24143,2246,194,298,482391541.37,51,20400.00,0.000071
476,25153,2352,203,24184,2248,198,300,464553882.32,60,14100.00,0.000063
477,25210,2357,203,24253,2257,201,295,443998007.95,64,10900.00,0.000057
478,25267,2361,203,24309,2276,195,294,437649173.99,61,9700.00,0.000059
479,25318,2365,203,24346,2283,191,301,435312082.11,59,9500.00,0.000060
480,25366,2368,204,24401,2267,195,299,482480683.31,57,19200.00,0.000071
481,25410,2375,205,24436,2275,199,305,460435215.51,59,22100.00,0.000062
482,25466,2378,205,24478,2296,196,299,437765256.42,61,8800.00,0.000058
483,25516,2387,205,24546,2301,197,298,440308398.15,63,14400.00,0.000059
484,25570,2391,205,24626,2292,199,293,444005490.69,62,9800.00,0.000059
485,25612,2398,205,24678,2313,193,288,434017652.04,57,12900.00,0.000060
486,25649,2403,205,24728,2331,187,276,428683132.19,47,10100.00,0.000061
487,25706,2405,206,24746,2316,189,314,469484823.85,61,17800.00,0.000072
488,25764,2410,206,24759,2309,199,306,451416100.44,64,10900.00,0.000061
489,25818,2416,206,24778,2331,204,322,447089375.32,62,11600.00,0.000057
490,25875,2418,206,24880,2344,204,283,451710485.76,67,10300.00,0.000059
491,25919,2422,206,25020,2354,204,266,443391379.96,51,8700.00,0.000056
492,25965,2425,206,25001,2364,200,308,438688367.20,56,9200.00,0.000057
493,26005,2429,207,25035,2362,200,270,488483770.53,47,18200.00,0.000071
494,26065,2437,208,25119,2339,198,319,455488513.69,72,24300.00,0.000063
495,26107,2442,208,25105,2327,199,311,443380689.43,53,9800.00,0.000061
496,26167,2444,208,25177,2357,204,298,447880543.48,70,9700.00,0.000059
497,26221,2452,208,25237,2364,206,312,448358193.15,65,14600.00,0.000058
498,26274,2457,208,25287,2356,204,301,440665663.99,62,10700.00,0.000058
499,26317,2462,209,25333,2368,196,305,474990009.60,52,20500.00,0.000072
500,26369,2465,210,25352,2373,198,311,452600691.66,56,18200.00,0.000063
501,26422,2470,210,25385,2382,205,318,445224633.76,65,11000.00,0.000058
502,26470,2474,210,25499,2391,204,276,442162779.60,54,9900.00,0.000059
503,26513,2479,210,25542,2388,204,316,443924124.18,54,10800.00,0.000060
504,26568,2486,211,25540,2374,208,322,451406954.77,68,23900.00,0.000060
505,26620,2494,211,25663,2391,210,278,451024698.01,63,13500.00,0.000058
506,26666,2503,211,25706,2422,209,305,448445165.66,56,13700.00,0.000058
507,26713,2507,212,25700,2434,203,300,481925814.32,55,20800.00,0.000070
508,26757,2513,212,25750,2427,197,311,445545490.32,53,10700.00,0.000064
509,26822,2517,213,25835,2425,200,305,441764573.71,77,22100.00,0.000061
510,26875,2520,215,25905,2431,204,307,481105899.76,64,29800.00,0.000070
511,26925,2522,215,25938,2425,205,305,452495194.09,56,7400.00,0.000062
512,26973,2528,216,25963,2436,201,316,472765811.80,60,22200.00,0.000071
513,27039,2530,217,26027,2432,203,316,486719621.40,72,18900.00,0.000074
514,27090,2535,217,26055,2428,206,327,451388797.47,57,10200.00,0.000063
515,27145,2538,217,26105,2448,207,304,442115639.65,61,9700.00,0.000060
516,27207,2542,217,26212,2463,215,307,451104898.01,74,11000.00,0.000058
517,27263,2547,217,26279,2458,211,309,429837879.08,66,11100.00,0.000056
518,27317,2551,217,26309,2448,209,317,444312086.95,60,9600.00,0.000062
519,27380,2554,218,26413,2445,211,297,480399870.56,75,20100.00,0.000070
520,27428,2558,218,26457,2467,209,313,454716999.16,59,9500.00,0.000062
521,27488,2563,218,26458,2492,212,314,447422892.68,73,11800.00,0.000059
522,27539,2566,218,26518,2490,212,311,441155650.52,60,10500.00,0.000058
523,27594,2568,218,26568,2477,210,316,443779161.00,60,8700.00,0.000061
524,27645,2575,220,26707,2470,212,275,485325515.27,64,33400.00,0.000071
525,27695,2580,220,26812,2492,210,279,458029004.40,57,10200.00,0.000062
526,27747,2586,221,26785,2509,208,308,479007547.26,61,21400.00,0.000071
527,27807,2591,222,26791,2500,212,317,456192086.25,68,21200.00,0.000063
528,27850,2595,222,26883,2500,217,282,444851032.92,54,10800.00,0.000058
529,27897,2598,224,26995,2517,216,271,482220630.58,53,27800.00,0.000069
530,27950,2605,224,27034,2533,212,289,453058240.87,63,12600.00,0.000062
531,28004,2610,225,27055,2538,218,291,453172728.74,63,21600.00,0.000060
532,28057,2611,225,27096,2529,220,298,433128060.99,59,6800.00,0.000056
533,28117,2616,227,27204,2530,221,273,452091833.35,70,31300.00,0.000060
534,28171,2623,227,27259,2533,221,305,444136426.05,68,14000.00,0.000058
535,28223,2625,228,27239,2528,221,306,488275001.07,57,17400.00,0.000072
536,28265,2628,228,27257,2531,223,311,464122488.10,55,9100.00,0.000063
537,28304,2631,228,27267,2539,220,316,439554038.01,47,8300.00,0.000059
538,28352,2635,228,27327,2564,216,293,438582060.69,55,10000.00,0.000061
539,28397,2641,228,27438,2553,216,296,439275181.06,56,11000.00,0.000061
540,28450,2645,228,27506,2543,220,293,444544576.46,60,9600.00,0.000060
541,28504,2652,228,27537,2551,226,311,452723767.47,68,14000.00,0.000059
542,28553,2654,229,27562,2545,224,309,442423897.88,56,18200.00,0.000059
543,28597,2660,229,27550,2552,218,333,434867722.99,54,10800.00,0.000061
544,28652,2665,230,27553,2574,217,331,478991506.06,64,21700.00,0.000073
545,28710,2667,230,27615,2590,223,326,461101577.53,64,8200.00,0.000062
546,28763,2672,230,27740,2559,226,309,439896229.03,60,10500.00,0.000058
